0,1,2,3
"4.0,0.7,0.67","2.9,0.74,0.49","3.9,0.77,0.5","1.3,0.78,0.73"
"1.9,0.71,0.56","1.4,0.9,0.55","1.3,0.75,0.47","2.1,0.79,0.48"
"3.5,0.82,0.51","3.6,0.74,0.52","2.6,0.87,0.63","3.1,0.86,0.73"
"1.4,0.8,0.54","3.6,0.89,0.79","1.9,0.85,0.78","2.1,0.83,0.63"
"1.0,0.72,0.48","3.2,0.71,0.5","2.6,0.8,0.64","3.1,0.86,0.64"
"2.8,0.82,0.77","2.3,0.85,0.6","1.8,0.83,0.58","2.6,0.89,0.64"
"2.3,0.79,0.54","2.9,0.72,0.67","3.9,0.75,0.58","1.6,0.83,0.63"
"1.7,0.84,0.48","2.2,0.71,0.65","3.4,0.76,0.66","2.4,0.8,0.57"
"2.2,0.78,0.46","3.0,0.8,0.52","2.6,0.81,0.58","1.6,0.85,0.78"
"1.3,0.82,0.64","1.6,0.88,0.66","3.4,0.71,0.46","2.3,0.8,0.64"
"2.8,0.75,0.8","2.9,0.89,0.57","3.2,0.84,0.54","2.4,0.84,0.63"
"3.2,0.72,0.48","1.9,0.72,0.58","1.3,0.82,0.76","1.7,0.77,0.47"
"3.1,0.83,0.65","3.3,0.81,0.7","3.5,0.86,0.6","3.2,0.86,0.77"
"2.0,0.82,0.54","1.1,0.82,0.49","2.4,0.78,0.48","3.4,0.79,0.59"
"1.2,0.74,0.52","1.1,0.9,0.54","1.8,0.71,0.66","3.1,0.74,0.5"
"3.1,0.77,0.57","2.8,0.76,0.62","1.1,0.8,0.59","2.5,0.85,0.51"
"1.0,0.85,0.57","1.2,0.84,0.48","2.2,0.81,0.66","4.0,0.71,0.47"
"1.1,0.78,0.72","1.1,0.73,0.58","3.6,0.81,0.64","2.6,0.75,0.55"
"2.2,0.77,0.56","2.5,0.77,0.53","1.5,0.84,0.67","1.5,0.76,0.53"
"1.6,0.83,0.56","3.9,0.77,0.75","1.4,0.86,0.72","3.0,0.87,0.77"
"2.8,0.73,0.46","3.3,0.86,0.54","2.5,0.72,0.51","2.6,0.86,0.65"
"3.9,0.81,0.69","1.0,0.86,0.51","3.8,0.71,0.79","3.4,0.88,0.77"
"1.3,0.78,0.69","3.9,0.84,0.64","1.3,0.76,0.61","2.6,0.77,0.76"
"3.6,0.74,0.55","1.8,0.77,0.54","3.5,0.82,0.76","1.5,0.74,0.48"
"2.1,0.82,0.66","3.5,0.85,0.5","3.4,0.78,0.58","3.8,0.82,0.52"
"3.3,0.75,0.47","1.4,0.88,0.73","1.9,0.8,0.62","2.6,0.76,0.73"
"3.6,0.8,0.8","2.8,0.89,0.53","2.2,0.89,0.68","1.9,0.71,0.6"
"1.1,0.76,0.67","1.5,0.79,0.54","2.3,0.83,0.58","1.4,0.71,0.59"
"2.0,0.74,0.5","2.8,0.79,0.67","2.4,0.79,0.47","1.3,0.8,0.67"
"3.5,0.81,0.49","1.8,0.88,0.66","3.1,0.78,0.75","3.3,0.87,0.71"
"2.0,0.73,0.5","3.7,0.79,0.78","2.1,0.78,0.79","3.3,0.73,0.5"
"3.9,0.71,0.8","1.2,0.88,0.58","1.3,0.81,0.54","1.1,0.8,0.77"
"1.6,0.87,0.68","3.4,0.89,0.76","2.6,0.86,0.56","3.4,0.76,0.59"
"2.6,0.87,0.59","2.4,0.89,0.79","2.9,0.71,0.68","2.8,0.75,0.67"
"2.5,0.72,0.67","3.7,0.7,0.48","1.1,0.83,0.64","2.9,0.71,0.72"
"1.9,0.77,0.5","3.8,0.73,0.75","2.4,0.78,0.54","3.9,0.73,0.67"
"1.5,0.89,0.74","1.5,0.88,0.69","1.2,0.76,0.68","1.4,0.78,0.48"
"2.2,0.76,0.48","1.9,0.83,0.79","2.8,0.74,0.63","3.9,0.88,0.55"
"3.4,0.72,0.75","2.8,0.84,0.55","2.7,0.76,0.62","1.5,0.82,0.6"
"1.3,0.84,0.69","2.6,0.74,0.64","3.7,0.73,0.79","1.8,0.71,0.61"
"2.0,0.87,0.75","3.5,0.76,0.59","2.6,0.85,0.48","3.0,0.87,0.48"
"4.0,0.83,0.72","1.6,0.71,0.67","2.6,0.78,0.7","2.4,0.86,0.61"
"3.4,0.74,0.47","2.8,0.79,0.47","3.6,0.82,0.46","2.6,0.8,0.73"
"2.1,0.83,0.48","3.2,0.72,0.59","2.4,0.78,0.5","1.0,0.9,0.77"
"2.7,0.8,0.73","1.3,0.73,0.66","2.2,0.8,0.69","1.4,0.75,0.64"
"3.0,0.82,0.73","1.1,0.73,0.48","2.4,0.72,0.53","3.2,0.71,0.5"
"2.7,0.83,0.54","1.7,0.83,0.72","3.2,0.79,0.66","1.4,0.78,0.5"
"3.9,0.81,0.5","3.2,0.83,0.72","3.7,0.82,0.54","3.1,0.83,0.49"
"3.5,0.87,0.67","2.1,0.87,0.6","1.0,0.87,0.6","1.8,0.73,0.62"
"2.5,0.84,0.71","1.4,0.79,0.75","2.8,0.81,0.79","1.3,0.78,0.47"
"3.3,0.74,0.7","3.0,0.83,0.55","2.6,0.81,0.45","3.1,0.72,0.61"
"2.1,0.85,0.56","3.3,0.85,0.72","2.9,0.83,0.67","1.3,0.89,0.51"
