0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"1.1,0.85,0.73","2.1,0.77,0.7","2.7,0.88,0.58","3.0,0.81,0.75","2.0,0.75,0.73","3.3,0.86,0.78","1.5,0.79,0.59","3.1,0.88,0.59","3.3,0.78,0.45","3.8,0.82,0.74","1.7,0.9,0.53","3.2,0.87,0.47","1.8,0.78,0.66","2.5,0.85,0.48","2.6,0.83,0.65","1.9,0.79,0.71","3.5,0.73,0.56","2.6,0.87,0.67","3.6,0.81,0.65","2.1,0.75,0.6"
"1.3,0.87,0.78","2.9,0.72,0.78","2.2,0.82,0.63","1.1,0.88,0.65","2.5,0.73,0.67","2.9,0.82,0.5","2.8,0.87,0.74","3.6,0.75,0.66","3.4,0.71,0.63","3.3,0.78,0.69","3.8,0.72,0.72","1.6,0.81,0.74","1.2,0.88,0.78","3.8,0.86,0.69","1.3,0.82,0.55","3.3,0.76,0.5","1.6,0.86,0.54","1.3,0.74,0.8","2.1,0.78,0.7","2.8,0.77,0.68"
"3.7,0.76,0.55","1.3,0.89,0.68","2.8,0.86,0.64","3.3,0.71,0.46","3.4,0.77,0.45","3.0,0.75,0.76","3.5,0.75,0.57","3.2,0.76,0.51","3.8,0.78,0.51","3.9,0.72,0.7","3.0,0.79,0.48","2.8,0.71,0.76","3.1,0.88,0.61","3.5,0.8,0.73","2.8,0.74,0.71","3.6,0.89,0.56","2.1,0.79,0.49","3.3,0.75,0.7","2.9,0.71,0.71","1.7,0.89,0.49"
"2.3,0.75,0.63","3.1,0.76,0.59","1.5,0.76,0.63","1.3,0.73,0.5","1.0,0.85,0.68","2.9,0.85,0.69","1.1,0.79,0.7","1.9,0.83,0.59","4.0,0.78,0.6","3.3,0.8,0.45","1.7,0.77,0.77","3.3,0.78,0.53","1.1,0.88,0.8","2.4,0.81,0.73","2.3,0.73,0.58","2.1,0.82,0.65","1.3,0.9,0.5","2.9,0.8,0.49","1.2,0.72,0.59","1.4,0.76,0.53"
"1.2,0.81,0.5","1.9,0.9,0.61","3.5,0.77,0.48","3.8,0.74,0.47","3.6,0.86,0.6","3.0,0.74,0.75","2.3,0.79,0.62","2.1,0.8,0.79","3.8,0.7,0.78","2.0,0.72,0.79","1.1,0.89,0.77","3.8,0.72,0.59","1.8,0.76,0.71","3.9,0.89,0.74","2.5,0.81,0.5","3.1,0.76,0.74","2.1,0.78,0.61","1.5,0.7,0.64","2.0,0.83,0.54","2.9,0.81,0.62"
"2.5,0.9,0.56","1.5,0.75,0.72","1.9,0.77,0.68","3.7,0.7,0.75","3.8,0.9,0.66","1.6,0.78,0.61","1.9,0.73,0.78","3.0,0.75,0.62","1.8,0.76,0.74","3.3,0.7,0.76","3.4,0.85,0.61","3.2,0.72,0.57","1.4,0.83,0.63","1.3,0.85,0.7","3.5,0.73,0.61","3.1,0.81,0.49","1.7,0.75,0.46","2.7,0.74,0.48","1.8,0.78,0.66","1.4,0.89,0.46"
"3.0,0.89,0.66","2.1,0.82,0.53","2.0,0.71,0.67","3.9,0.76,0.57","2.0,0.84,0.5","2.7,0.78,0.59","1.6,0.84,0.62","3.5,0.74,0.76","1.8,0.88,0.78","2.0,0.76,0.78","3.2,0.74,0.54","1.9,0.9,0.77","2.2,0.85,0.49","3.1,0.77,0.56","1.4,0.71,0.61","3.1,0.78,0.72","3.5,0.8,0.77","2.3,0.71,0.61","2.9,0.74,0.52","1.8,0.82,0.71"
"2.7,0.81,0.77","1.5,0.75,0.48","2.0,0.89,0.48","2.0,0.75,0.77","3.8,0.86,0.66","1.0,0.77,0.72","3.2,0.79,0.66","3.1,0.79,0.71","1.6,0.84,0.53","2.1,0.71,0.49","1.2,0.72,0.75","2.1,0.83,0.65","1.9,0.9,0.45","2.2,0.8,0.49","1.8,0.76,0.56","2.6,0.74,0.5","2.3,0.74,0.65","2.3,0.87,0.67","1.3,0.88,0.69","3.1,0.87,0.51"
"3.8,0.75,0.59","3.7,0.85,0.48","1.0,0.84,0.52","1.6,0.9,0.47","3.9,0.74,0.46","2.9,0.83,0.61","1.7,0.9,0.78","2.3,0.8,0.6","3.9,0.82,0.74","2.9,0.85,0.58","1.1,0.74,0.77","2.9,0.82,0.79","2.7,0.89,0.7","1.3,0.82,0.59","1.5,0.7,0.5","3.5,0.84,0.67","1.8,0.85,0.6","3.1,0.83,0.76","1.7,0.86,0.52","3.9,0.89,0.45"
"1.7,0.76,0.62","3.8,0.76,0.55","1.7,0.73,0.46","1.3,0.84,0.58","2.9,0.73,0.59","3.1,0.81,0.77","1.1,0.7,0.7","3.6,0.9,0.67","2.5,0.89,0.7","2.3,0.84,0.55","3.3,0.82,0.45","1.9,0.89,0.67","3.5,0.72,0.58","1.6,0.79,0.73","2.0,0.76,0.5","2.4,0.85,0.55","3.6,0.89,0.45","1.8,0.71,0.61","2.1,0.78,0.7","2.4,0.82,0.53"
