0,1,2,3
"2.1,0.86,0.76","2.7,0.76,0.8","2.7,0.79,0.72","3.9,0.89,0.53"
"3.3,0.73,0.5","3.7,0.81,0.51","1.3,0.83,0.52","2.5,0.85,0.45"
"3.2,0.85,0.58","2.5,0.73,0.62","3.4,0.75,0.46","2.6,0.89,0.66"
"2.7,0.74,0.5","1.8,0.81,0.61","1.7,0.72,0.52","2.4,0.85,0.46"
"2.0,0.78,0.72","1.5,0.85,0.5","3.2,0.83,0.75","3.2,0.88,0.53"
"1.1,0.74,0.8","3.6,0.77,0.53","3.3,0.89,0.47","3.3,0.87,0.75"
"2.2,0.72,0.54","1.6,0.78,0.62","2.8,0.88,0.64","3.1,0.81,0.53"
"2.1,0.88,0.73","2.1,0.77,0.47","3.3,0.8,0.49","3.8,0.72,0.58"
"2.6,0.84,0.73","2.8,0.86,0.65","1.8,0.82,0.74","3.3,0.74,0.56"
"2.2,0.75,0.78","1.7,0.75,0.53","1.2,0.9,0.55","2.8,0.76,0.54"
"1.7,0.75,0.47","1.4,0.7,0.56","2.6,0.74,0.53","3.8,0.86,0.5"
"3.2,0.89,0.7","2.1,0.89,0.59","1.3,0.78,0.48","1.5,0.72,0.46"
"1.8,0.71,0.49","2.5,0.7,0.5","3.2,0.86,0.5","2.6,0.85,0.62"
"2.8,0.84,0.7","1.8,0.71,0.65","3.1,0.75,0.74","1.6,0.84,0.61"
"3.9,0.85,0.67","2.3,0.78,0.52","1.5,0.87,0.51","3.9,0.86,0.51"
"1.1,0.85,0.62","2.3,0.81,0.47","2.3,0.77,0.66","3.3,0.76,0.71"
"1.7,0.83,0.77","1.8,0.76,0.76","2.7,0.86,0.79","2.2,0.8,0.66"
"2.0,0.81,0.78","2.2,0.86,0.46","2.6,0.78,0.69","3.5,0.74,0.45"
"2.5,0.83,0.79","1.5,0.81,0.58","3.6,0.83,0.56","1.1,0.74,0.76"
"3.5,0.7,0.67","3.2,0.82,0.61","3.2,0.87,0.57","2.2,0.73,0.48"
"2.7,0.83,0.74","1.7,0.74,0.68","1.4,0.75,0.76","1.2,0.73,0.5"
"2.0,0.78,0.57","1.3,0.81,0.56","3.2,0.77,0.54","1.8,0.86,0.57"
"3.0,0.75,0.52","3.1,0.83,0.71","2.6,0.85,0.71","3.6,0.76,0.54"
"3.6,0.88,0.58","1.6,0.89,0.56","1.4,0.81,0.79","3.2,0.87,0.51"
"3.4,0.86,0.56","2.9,0.79,0.55","1.1,0.76,0.63","1.3,0.86,0.5"
"2.8,0.84,0.47","1.1,0.88,0.77","3.5,0.81,0.66","3.9,0.82,0.5"
"2.4,0.8,0.74","2.5,0.71,0.56","3.5,0.81,0.46","3.0,0.78,0.73"
"3.6,0.89,0.61","3.5,0.88,0.54","2.2,0.86,0.67","3.9,0.82,0.64"
"2.8,0.85,0.48","2.9,0.74,0.57","1.1,0.71,0.54","1.2,0.79,0.73"
"3.2,0.76,0.45","3.8,0.79,0.49","2.1,0.72,0.52","2.5,0.77,0.58"
"2.0,0.72,0.78","1.7,0.82,0.6","3.3,0.84,0.76","3.8,0.78,0.71"
"1.9,0.73,0.78","3.9,0.81,0.52","3.1,0.77,0.57","3.3,0.73,0.57"
"3.1,0.9,0.62","1.8,0.73,0.55","1.3,0.7,0.69","2.5,0.71,0.55"
"3.8,0.78,0.76","3.3,0.76,0.78","2.5,0.73,0.52","2.5,0.81,0.7"
"1.7,0.85,0.57","3.4,0.85,0.73","1.6,0.77,0.72","3.9,0.88,0.58"
"2.3,0.89,0.67","1.9,0.85,0.55","2.9,0.74,0.63","2.1,0.73,0.75"
"2.3,0.81,0.63","2.2,0.8,0.46","1.3,0.71,0.47","1.4,0.78,0.8"
"1.3,0.81,0.55","2.5,0.81,0.77","1.8,0.79,0.45","2.9,0.86,0.7"
"3.8,0.88,0.75","1.2,0.9,0.62","3.1,0.88,0.6","2.3,0.87,0.64"
"3.3,0.75,0.52","1.3,0.73,0.6","3.9,0.87,0.77","3.3,0.71,0.78"
"3.5,0.76,0.6","1.1,0.82,0.68","3.6,0.73,0.72","1.5,0.72,0.51"
"1.3,0.82,0.47","3.8,0.71,0.52","3.8,0.82,0.47","2.6,0.76,0.72"
"1.1,0.82,0.69","1.0,0.74,0.57","1.5,0.86,0.67","2.3,0.73,0.47"
"1.7,0.89,0.59","1.7,0.73,0.7","3.5,0.87,0.68","2.0,0.8,0.6"
"3.7,0.83,0.51","2.9,0.81,0.61","1.4,0.77,0.8","1.2,0.86,0.79"
"2.4,0.8,0.54","3.3,0.76,0.71","3.5,0.87,0.5","4.0,0.86,0.79"
"1.3,0.88,0.79","2.0,0.77,0.47","2.8,0.72,0.61","2.5,0.72,0.67"
"2.8,0.77,0.6","1.7,0.86,0.75","3.5,0.74,0.69","3.8,0.71,0.63"
"3.7,0.81,0.47","3.2,0.86,0.54","1.5,0.78,0.62","1.9,0.82,0.56"
"2.8,0.77,0.67","2.8,0.78,0.63","1.6,0.81,0.47","1.3,0.81,0.63"
"3.2,0.72,0.64","3.3,0.79,0.7","1.9,0.86,0.6","1.7,0.83,0.52"
"2.2,0.7,0.69","1.8,0.76,0.67","3.3,0.84,0.7","3.7,0.83,0.75"
"1.0,0.81,0.57","2.6,0.74,0.49","2.0,0.71,0.52","2.5,0.8,0.67"
"3.2,0.83,0.46","1.0,0.8,0.65","1.3,0.84,0.63","3.7,0.84,0.59"
"3.9,0.79,0.65","2.6,0.79,0.8","3.8,0.71,0.77","1.1,0.75,0.76"
"3.8,0.74,0.5","3.6,0.7,0.5","3.3,0.75,0.66","2.4,0.72,0.76"
"1.8,0.84,0.56","2.8,0.73,0.78","2.2,0.82,0.6","2.6,0.88,0.69"
"3.4,0.83,0.65","2.8,0.73,0.7","4.0,0.78,0.67","1.9,0.74,0.78"
"2.4,0.83,0.63","2.3,0.85,0.49","3.5,0.79,0.53","3.1,0.87,0.65"
"3.4,0.83,0.56","1.9,0.84,0.8","1.6,0.72,0.49","2.4,0.83,0.5"
"1.7,0.71,0.74","2.4,0.74,0.72","3.8,0.73,0.62","1.0,0.84,0.63"
"3.4,0.71,0.56","1.5,0.77,0.79","2.2,0.89,0.62","3.8,0.85,0.56"
"2.9,0.71,0.58","3.8,0.88,0.45","3.6,0.79,0.61","3.9,0.9,0.69"
"1.4,0.9,0.71","3.8,0.87,0.62","3.4,0.83,0.74","2.5,0.72,0.73"
"1.5,0.71,0.63","1.1,0.75,0.76","3.2,0.76,0.45","3.3,0.85,0.51"
"3.0,0.89,0.67","1.3,0.86,0.58","1.9,0.83,0.46","3.2,0.78,0.78"
"3.2,0.77,0.73","1.5,0.81,0.53","2.6,0.87,0.58","3.7,0.84,0.64"
"2.5,0.73,0.63","3.2,0.81,0.77","2.2,0.8,0.67","1.1,0.72,0.55"
"2.7,0.86,0.75","1.4,0.8,0.48","2.8,0.74,0.63","1.1,0.83,0.46"
"1.9,0.84,0.74","2.3,0.78,0.54","3.3,0.88,0.66","1.3,0.72,0.54"
"1.7,0.81,0.49","3.2,0.72,0.62","3.1,0.89,0.57","2.4,0.81,0.46"
"2.6,0.86,0.67","3.6,0.82,0.71","3.7,0.76,0.56","3.6,0.75,0.62"
"2.2,0.83,0.79","1.2,0.83,0.7","1.5,0.75,0.61","1.3,0.72,0.69"
"1.7,0.85,0.61","1.0,0.83,0.53","1.8,0.71,0.56","3.4,0.85,0.61"
"1.2,0.88,0.55","1.6,0.72,0.56","3.7,0.85,0.63","2.1,0.74,0.5"
"2.6,0.79,0.74","2.3,0.88,0.69","1.2,0.88,0.61","1.2,0.71,0.71"
"3.3,0.85,0.7","3.6,0.73,0.73","3.3,0.73,0.56","1.8,0.71,0.55"
"1.3,0.77,0.73","2.5,0.8,0.62","2.6,0.84,0.77","2.8,0.77,0.73"
"1.5,0.82,0.46","3.2,0.77,0.76","2.9,0.78,0.61","1.9,0.88,0.58"
"1.9,0.82,0.6","3.6,0.78,0.59","2.0,0.78,0.76","1.4,0.88,0.66"
"2.9,0.8,0.59","3.9,0.88,0.66","2.0,0.71,0.71","1.8,0.79,0.59"
"1.8,0.77,0.65","2.0,0.82,0.49","2.3,0.74,0.58","3.0,0.86,0.6"
"1.4,0.79,0.71","2.1,0.82,0.5","2.3,0.84,0.61","1.8,0.84,0.6"
"2.7,0.71,0.46","2.0,0.73,0.55","3.3,0.86,0.57","2.8,0.9,0.48"
"2.5,0.83,0.72","1.1,0.81,0.45","3.1,0.74,0.49","3.0,0.76,0.47"
"1.8,0.78,0.64","3.8,0.75,0.7","2.0,0.87,0.59","3.3,0.84,0.62"
"3.9,0.81,0.56","3.6,0.9,0.52","3.8,0.76,0.72","3.7,0.71,0.49"
"1.9,0.83,0.46","3.9,0.76,0.73","1.3,0.84,0.52","2.9,0.87,0.49"
"1.4,0.78,0.52","3.1,0.82,0.73","2.3,0.73,0.69","3.1,0.75,0.72"
"2.5,0.73,0.71","1.0,0.79,0.48","2.7,0.86,0.47","2.0,0.78,0.46"
"1.5,0.72,0.52","1.6,0.79,0.49","1.7,0.73,0.56","1.1,0.82,0.68"
"2.6,0.71,0.5","3.9,0.81,0.62","2.4,0.77,0.51","1.7,0.75,0.71"
