0,1,2,3
"3.5,0.74,0.48","2.1,0.74,0.47","3.7,0.71,0.58","3.8,0.78,0.56"
"2.0,0.72,0.71","2.1,0.89,0.58","3.2,0.72,0.63","1.2,0.73,0.46"
"2.1,0.89,0.53","3.6,0.73,0.66","2.0,0.83,0.58","2.4,0.89,0.75"
"3.7,0.8,0.64","1.9,0.72,0.54","1.3,0.7,0.48","3.0,0.75,0.52"
"1.1,0.83,0.63","2.6,0.7,0.53","1.3,0.87,0.66","2.9,0.8,0.64"
"3.5,0.75,0.59","3.2,0.82,0.63","1.0,0.72,0.57","1.8,0.79,0.61"
"3.0,0.8,0.75","2.7,0.72,0.74","2.6,0.75,0.58","3.8,0.82,0.48"
"1.2,0.75,0.47","3.2,0.74,0.54","1.3,0.78,0.79","2.8,0.8,0.48"
"3.7,0.75,0.74","2.1,0.87,0.66","2.8,0.88,0.59","1.7,0.81,0.69"
"1.8,0.71,0.6","1.9,0.79,0.53","2.0,0.82,0.46","2.8,0.8,0.63"
"2.6,0.87,0.5","1.9,0.86,0.63","3.1,0.82,0.46","2.3,0.84,0.52"
"2.5,0.75,0.73","1.9,0.72,0.65","4.0,0.75,0.58","3.4,0.72,0.63"
"3.9,0.72,0.78","2.1,0.71,0.72","3.7,0.83,0.77","2.1,0.75,0.68"
"4.0,0.75,0.58","1.5,0.74,0.46","3.0,0.75,0.68","3.7,0.88,0.63"
"2.6,0.86,0.47","3.6,0.83,0.5","2.6,0.78,0.68","2.1,0.73,0.7"
"3.3,0.88,0.79","3.0,0.88,0.7","1.1,0.85,0.79","2.7,0.85,0.53"
"1.4,0.74,0.8","2.7,0.9,0.51","2.6,0.8,0.67","2.9,0.84,0.63"
"1.4,0.86,0.74","2.3,0.87,0.59","2.3,0.79,0.54","3.9,0.83,0.7"
"3.6,0.75,0.66","2.1,0.85,0.78","3.4,0.78,0.69","1.5,0.72,0.69"
"1.5,0.84,0.69","2.7,0.81,0.7","1.3,0.86,0.78","1.6,0.84,0.57"
"3.5,0.86,0.78","3.5,0.87,0.52","2.4,0.75,0.45","1.9,0.73,0.79"
"3.7,0.87,0.69","2.3,0.76,0.52","3.6,0.77,0.55","3.0,0.73,0.48"
"1.5,0.88,0.63","3.9,0.81,0.66","1.6,0.81,0.76","2.0,0.85,0.71"
"3.8,0.81,0.64","3.1,0.8,0.73","3.3,0.73,0.75","3.4,0.72,0.69"
"1.2,0.81,0.66","1.7,0.74,0.7","1.1,0.84,0.52","3.4,0.79,0.49"
"1.6,0.71,0.58","2.4,0.78,0.57","4.0,0.75,0.47","2.9,0.83,0.7"
"3.9,0.78,0.53","3.2,0.75,0.7","2.3,0.74,0.59","3.4,0.7,0.52"
"1.4,0.73,0.49","2.4,0.87,0.54","1.0,0.78,0.55","3.6,0.76,0.52"
"3.5,0.85,0.58","3.4,0.85,0.78","3.8,0.78,0.6","2.0,0.87,0.56"
"1.2,0.78,0.77","3.6,0.9,0.76","1.0,0.76,0.63","2.1,0.73,0.68"
"1.7,0.85,0.68","3.8,0.79,0.73","1.3,0.79,0.77","4.0,0.82,0.55"
"3.1,0.79,0.77","2.1,0.76,0.46","1.8,0.74,0.75","1.3,0.76,0.57"
"2.9,0.75,0.52","1.1,0.85,0.65","1.2,0.75,0.47","2.3,0.87,0.79"
"2.8,0.74,0.6","1.7,0.81,0.62","3.7,0.76,0.67","3.1,0.82,0.5"
"1.1,0.72,0.6","2.3,0.82,0.65","1.4,0.79,0.56","1.6,0.77,0.52"
"3.4,0.85,0.79","2.5,0.83,0.52","2.4,0.84,0.72","1.4,0.79,0.58"
"2.1,0.8,0.68","2.6,0.77,0.57","1.6,0.88,0.79","2.9,0.87,0.56"
"3.8,0.74,0.53","3.5,0.87,0.62","3.7,0.76,0.52","2.9,0.84,0.45"
"2.3,0.7,0.77","1.0,0.84,0.78","3.8,0.76,0.54","3.5,0.8,0.73"
"2.9,0.76,0.45","2.7,0.88,0.73","3.8,0.87,0.63","1.1,0.82,0.75"
"1.5,0.89,0.59","1.2,0.87,0.59","3.5,0.74,0.5","3.4,0.71,0.75"
"2.4,0.84,0.77","3.4,0.82,0.5","2.1,0.83,0.69","3.7,0.88,0.57"
"3.3,0.78,0.54","2.0,0.88,0.68","1.1,0.83,0.68","1.1,0.77,0.49"
"1.1,0.74,0.66","2.6,0.78,0.48","1.4,0.79,0.51","1.1,0.83,0.64"
"2.3,0.87,0.64","1.4,0.72,0.61","2.6,0.77,0.77","2.7,0.8,0.76"
"3.7,0.75,0.75","2.0,0.71,0.68","2.2,0.74,0.78","3.2,0.83,0.76"
"2.2,0.73,0.47","1.9,0.88,0.59","4.0,0.86,0.63","2.1,0.83,0.48"
"1.2,0.82,0.76","3.4,0.71,0.79","1.9,0.87,0.66","3.6,0.77,0.69"
"1.0,0.75,0.56","3.3,0.85,0.53","2.7,0.74,0.78","3.1,0.88,0.5"
"1.3,0.86,0.67","1.6,0.75,0.67","3.0,0.75,0.68","1.9,0.81,0.54"
"2.6,0.8,0.5","3.4,0.88,0.79","3.3,0.84,0.52","2.3,0.82,0.76"
"3.3,0.83,0.55","2.6,0.78,0.59","2.1,0.8,0.58","3.0,0.9,0.47"
"2.0,0.87,0.69","1.6,0.72,0.54","1.8,0.78,0.49","2.4,0.82,0.54"
"3.8,0.9,0.64","2.8,0.78,0.73","2.8,0.86,0.79","2.8,0.73,0.56"
"1.3,0.7,0.45","1.7,0.86,0.66","2.4,0.78,0.47","2.4,0.73,0.8"
"1.6,0.73,0.62","1.7,0.9,0.45","1.4,0.89,0.55","3.9,0.8,0.52"
"1.6,0.87,0.74","3.6,0.87,0.48","1.1,0.78,0.46","2.2,0.82,0.78"
"2.7,0.72,0.75","1.2,0.75,0.72","1.0,0.89,0.77","3.8,0.74,0.59"
"1.4,0.9,0.71","2.4,0.72,0.51","1.8,0.83,0.75","1.3,0.78,0.55"
"1.5,0.74,0.72","3.0,0.75,0.54","1.8,0.84,0.59","2.5,0.76,0.5"
"1.6,0.84,0.7","1.9,0.79,0.58","3.9,0.83,0.63","2.4,0.78,0.62"
"1.2,0.81,0.5","2.2,0.73,0.79","1.1,0.89,0.76","1.6,0.82,0.5"
"2.0,0.78,0.73","3.4,0.82,0.54","1.7,0.88,0.67","3.0,0.7,0.47"
"1.1,0.82,0.54","2.6,0.78,0.76","3.3,0.71,0.6","3.7,0.87,0.71"
"1.1,0.73,0.49","1.9,0.79,0.65","3.0,0.84,0.64","2.8,0.77,0.69"
"3.7,0.84,0.74","3.3,0.83,0.71","2.4,0.89,0.7","1.7,0.77,0.8"
"3.8,0.7,0.63","1.1,0.73,0.54","3.3,0.82,0.6","2.6,0.89,0.6"
"3.5,0.87,0.64","2.0,0.86,0.55","3.1,0.87,0.79","3.7,0.85,0.48"
"3.5,0.79,0.48","2.8,0.77,0.68","1.7,0.89,0.51","2.3,0.82,0.63"
"2.7,0.75,0.69","3.6,0.82,0.63","1.7,0.85,0.56","3.4,0.74,0.52"
"1.0,0.72,0.67","1.4,0.78,0.48","1.0,0.72,0.68","3.3,0.88,0.56"
"3.3,0.9,0.78","1.5,0.86,0.78","3.4,0.89,0.66","3.7,0.78,0.7"
"1.2,0.75,0.74","1.4,0.84,0.54","2.3,0.7,0.69","2.7,0.86,0.55"
"2.6,0.8,0.53","1.4,0.77,0.63","2.1,0.87,0.6","3.3,0.73,0.52"
