0,1,2,3,4
"2.1,0.88,0.74","2.3,0.88,0.56","3.3,0.9,0.47","3.9,0.8,0.64","2.0,0.76,0.53"
"2.0,0.77,0.45","3.2,0.74,0.56","1.8,0.75,0.68","4.0,0.82,0.54","3.0,0.79,0.58"
"1.1,0.77,0.79","3.6,0.83,0.74","3.2,0.86,0.63","1.9,0.71,0.72","2.4,0.84,0.59"
"3.3,0.87,0.61","1.2,0.78,0.71","2.9,0.8,0.71","1.7,0.76,0.67","1.4,0.84,0.5"
"1.9,0.87,0.74","3.1,0.71,0.74","1.3,0.76,0.48","3.4,0.76,0.64","2.7,0.78,0.48"
"1.6,0.9,0.76","3.7,0.77,0.7","3.2,0.75,0.65","1.5,0.83,0.48","1.2,0.87,0.54"
"3.1,0.8,0.47","3.6,0.72,0.45","2.8,0.85,0.72","1.4,0.77,0.53","2.6,0.87,0.56"
"3.4,0.76,0.8","3.1,0.71,0.78","3.7,0.74,0.69","2.8,0.85,0.47","1.6,0.77,0.77"
"1.6,0.8,0.64","3.0,0.8,0.52","3.2,0.86,0.5","2.8,0.81,0.48","3.8,0.86,0.46"
"2.9,0.71,0.6","1.6,0.88,0.56","3.2,0.8,0.62","1.9,0.85,0.49","2.6,0.8,0.57"
"1.3,0.8,0.78","1.6,0.85,0.57","1.2,0.75,0.7","2.6,0.8,0.55","1.1,0.9,0.61"
"1.1,0.78,0.68","1.4,0.86,0.74","2.0,0.76,0.73","2.3,0.73,0.59","2.0,0.87,0.47"
"3.5,0.84,0.78","1.4,0.77,0.48","1.6,0.85,0.54","2.8,0.79,0.49","1.9,0.89,0.65"
"2.4,0.78,0.49","2.8,0.76,0.56","1.6,0.89,0.62","3.4,0.79,0.66","3.5,0.81,0.63"
"2.0,0.84,0.57","2.8,0.88,0.49","3.9,0.89,0.59","1.5,0.8,0.78","2.6,0.75,0.75"
"1.3,0.78,0.57","3.9,0.72,0.65","1.5,0.76,0.69","1.7,0.73,0.66","3.9,0.89,0.53"
"2.2,0.88,0.74","3.9,0.83,0.5","2.3,0.86,0.64","1.5,0.72,0.59","3.5,0.85,0.51"
"1.9,0.85,0.59","3.3,0.75,0.7","1.3,0.84,0.67","1.6,0.76,0.57","2.1,0.89,0.46"
"1.3,0.82,0.52","3.3,0.7,0.66","2.5,0.75,0.55","3.7,0.77,0.61","4.0,0.78,0.55"
"1.3,0.88,0.74","3.3,0.84,0.5","1.7,0.88,0.53","3.0,0.73,0.73","3.0,0.79,0.76"
"3.9,0.85,0.72","1.6,0.9,0.67","2.3,0.71,0.66","2.1,0.74,0.56","2.7,0.81,0.7"
"2.5,0.8,0.75","3.4,0.88,0.51","2.9,0.74,0.56","3.0,0.84,0.63","2.3,0.88,0.56"
"1.4,0.84,0.72","1.3,0.83,0.74","3.0,0.85,0.78","3.0,0.75,0.75","3.3,0.75,0.65"
"2.3,0.78,0.77","1.2,0.74,0.64","3.5,0.72,0.75","1.2,0.87,0.48","4.0,0.77,0.48"
"2.4,0.86,0.54","3.9,0.72,0.55","3.7,0.88,0.76","1.9,0.84,0.48","1.7,0.83,0.58"
"4.0,0.73,0.64","3.5,0.88,0.77","1.3,0.8,0.75","3.3,0.86,0.8","1.3,0.83,0.46"
"1.7,0.84,0.54","3.8,0.76,0.51","3.1,0.82,0.5","3.4,0.83,0.48","1.4,0.73,0.51"
"1.4,0.76,0.49","3.3,0.88,0.64","2.0,0.88,0.69","2.9,0.84,0.46","1.0,0.72,0.78"
"3.1,0.72,0.55","2.1,0.78,0.7","3.3,0.8,0.71","1.1,0.82,0.71","2.7,0.78,0.52"
"2.2,0.78,0.6","1.6,0.71,0.54","1.7,0.71,0.46","3.5,0.75,0.6","2.7,0.74,0.46"
"3.9,0.75,0.68","3.2,0.77,0.58","2.9,0.89,0.54","1.8,0.75,0.62","2.5,0.76,0.72"
"1.9,0.85,0.78","3.8,0.77,0.6","1.9,0.81,0.75","1.7,0.73,0.75","2.1,0.82,0.59"
"2.6,0.88,0.55","3.2,0.81,0.67","3.3,0.9,0.74","2.7,0.84,0.79","1.2,0.81,0.7"
"3.5,0.75,0.56","2.6,0.7,0.53","2.4,0.82,0.69","2.3,0.76,0.68","2.5,0.88,0.54"
"1.7,0.9,0.72","3.0,0.8,0.63","3.9,0.74,0.71","2.3,0.88,0.64","2.8,0.75,0.51"
"3.0,0.7,0.71","2.4,0.8,0.69","3.7,0.82,0.65","2.6,0.81,0.77","3.0,0.78,0.76"
"1.3,0.71,0.75","3.0,0.82,0.8","1.0,0.8,0.67","1.3,0.87,0.53","3.1,0.74,0.8"
"3.7,0.75,0.47","3.8,0.78,0.65","1.4,0.76,0.47","2.6,0.71,0.67","3.0,0.82,0.75"
"1.6,0.77,0.49","3.9,0.88,0.48","3.2,0.84,0.79","3.2,0.78,0.56","1.4,0.77,0.56"
"1.0,0.81,0.54","1.2,0.8,0.78","1.3,0.72,0.57","2.2,0.84,0.52","3.9,0.82,0.74"
"1.8,0.73,0.46","2.0,0.73,0.48","2.8,0.88,0.76","3.5,0.82,0.56","2.8,0.79,0.69"
"1.1,0.79,0.69","3.2,0.73,0.78","3.1,0.78,0.51","3.4,0.82,0.47","3.3,0.72,0.73"
"1.8,0.81,0.45","3.5,0.74,0.47","3.5,0.79,0.76","1.5,0.87,0.66","4.0,0.77,0.64"
"3.3,0.72,0.61","3.5,0.74,0.69","2.3,0.87,0.77","2.5,0.81,0.47","2.8,0.88,0.58"
"3.0,0.86,0.79","3.5,0.89,0.73","3.6,0.86,0.67","3.6,0.83,0.78","2.3,0.84,0.55"
"2.0,0.83,0.6","2.6,0.76,0.67","2.1,0.9,0.52","2.1,0.83,0.47","2.3,0.8,0.62"
"3.3,0.71,0.55","2.7,0.86,0.7","1.2,0.72,0.69","1.9,0.89,0.71","3.2,0.77,0.63"
"1.4,0.76,0.55","3.0,0.86,0.8","1.2,0.73,0.69","1.4,0.76,0.65","3.5,0.78,0.74"
"1.6,0.78,0.54","2.1,0.83,0.62","2.2,0.86,0.72","3.3,0.83,0.6","2.4,0.81,0.77"
"3.0,0.85,0.74","2.2,0.79,0.69","1.8,0.8,0.64","3.0,0.84,0.76","2.0,0.81,0.51"
"2.5,0.88,0.8","3.4,0.73,0.72","1.4,0.86,0.57","3.1,0.79,0.77","3.9,0.89,0.55"
"1.0,0.87,0.59","2.9,0.9,0.55","1.4,0.84,0.61","1.2,0.83,0.62","2.4,0.89,0.71"
"2.3,0.81,0.75","3.1,0.83,0.48","1.7,0.84,0.8","2.7,0.9,0.49","3.4,0.84,0.67"
"3.4,0.86,0.74","3.7,0.72,0.54","3.7,0.77,0.65","3.8,0.78,0.68","2.6,0.85,0.65"
"2.9,0.83,0.76","3.5,0.77,0.56","1.1,0.78,0.62","3.5,0.86,0.74","1.9,0.85,0.72"
"1.6,0.73,0.67","3.4,0.81,0.45","1.3,0.84,0.58","3.8,0.73,0.6","3.7,0.86,0.62"
"2.5,0.77,0.75","3.5,0.72,0.72","3.8,0.89,0.77","1.7,0.78,0.48","2.8,0.76,0.66"
"1.3,0.82,0.62","3.6,0.86,0.62","1.6,0.71,0.62","1.9,0.82,0.54","1.9,0.78,0.62"
"1.9,0.72,0.46","3.3,0.79,0.77","3.8,0.89,0.71","2.5,0.89,0.61","2.4,0.72,0.69"
"3.9,0.89,0.66","1.7,0.73,0.74","1.7,0.8,0.54","2.4,0.82,0.66","2.4,0.87,0.75"
"3.6,0.73,0.54","4.0,0.79,0.54","3.0,0.89,0.57","2.3,0.72,0.72","2.3,0.7,0.6"
"1.9,0.87,0.79","2.8,0.86,0.62","2.0,0.74,0.59","3.4,0.78,0.52","3.7,0.88,0.57"
"3.9,0.84,0.49","3.1,0.81,0.52","1.7,0.83,0.58","3.6,0.75,0.69","2.3,0.78,0.49"
"2.6,0.75,0.8","1.2,0.7,0.46","2.3,0.88,0.56","2.7,0.8,0.49","3.6,0.75,0.76"
"3.5,0.74,0.7","1.1,0.89,0.63","2.5,0.85,0.8","3.7,0.81,0.53","3.4,0.79,0.71"
"3.5,0.8,0.54","3.1,0.71,0.67","2.1,0.78,0.73","2.9,0.8,0.59","2.2,0.8,0.55"
"3.8,0.89,0.7","1.9,0.81,0.56","3.3,0.81,0.57","3.0,0.72,0.72","2.7,0.83,0.49"
"2.2,0.87,0.68","3.6,0.78,0.61","3.3,0.74,0.69","1.1,0.82,0.66","2.5,0.88,0.72"
"3.2,0.75,0.78","3.0,0.83,0.72","1.3,0.77,0.51","1.8,0.87,0.51","2.2,0.74,0.69"
"3.1,0.71,0.58","3.8,0.76,0.45","2.8,0.84,0.47","3.3,0.84,0.68","3.1,0.79,0.66"
"3.2,0.77,0.74","3.8,0.81,0.47","2.3,0.9,0.7","3.9,0.89,0.79","2.6,0.7,0.75"
"1.2,0.83,0.7","3.8,0.82,0.59","3.1,0.73,0.66","1.2,0.84,0.57","2.7,0.82,0.55"
"1.1,0.71,0.6","3.1,0.78,0.61","3.4,0.73,0.64","2.8,0.88,0.5","2.3,0.81,0.67"
"2.9,0.88,0.75","1.5,0.74,0.75","1.2,0.89,0.51","3.3,0.79,0.7","1.8,0.71,0.69"
"1.5,0.81,0.6","2.1,0.71,0.6","1.9,0.79,0.46","3.7,0.9,0.54","1.4,0.7,0.75"
"1.5,0.88,0.65","2.0,0.82,0.6","3.9,0.72,0.65","1.3,0.73,0.53","2.1,0.77,0.54"
"3.8,0.83,0.6","3.8,0.81,0.52","3.0,0.76,0.69","2.8,0.85,0.51","2.2,0.84,0.73"
"1.4,0.86,0.71","2.8,0.79,0.5","1.9,0.72,0.77","2.5,0.84,0.56","3.4,0.83,0.47"
"3.9,0.86,0.74","2.0,0.85,0.77","2.8,0.82,0.5","3.5,0.71,0.65","2.4,0.88,0.55"
"3.8,0.73,0.76","2.9,0.73,0.78","1.3,0.78,0.74","2.4,0.88,0.68","2.5,0.81,0.61"
"2.7,0.78,0.7","2.9,0.75,0.73","2.3,0.76,0.61","1.1,0.89,0.51","1.5,0.78,0.75"
"3.1,0.73,0.6","1.8,0.8,0.46","3.4,0.76,0.45","2.0,0.72,0.72","2.5,0.89,0.48"
"1.3,0.75,0.65","2.5,0.79,0.68","3.6,0.75,0.65","1.2,0.77,0.75","2.2,0.77,0.74"
"1.7,0.83,0.5","1.5,0.83,0.47","4.0,0.82,0.71","3.9,0.72,0.5","2.2,0.74,0.49"
"1.3,0.73,0.45","3.0,0.75,0.45","1.4,0.72,0.53","2.8,0.81,0.61","2.7,0.72,0.7"
"3.6,0.76,0.51","2.3,0.8,0.47","2.3,0.73,0.62","1.8,0.88,0.59","1.2,0.72,0.67"
"1.4,0.79,0.45","3.6,0.85,0.48","2.0,0.83,0.58","1.3,0.81,0.7","3.6,0.72,0.53"
"1.3,0.82,0.75","3.2,0.77,0.67","2.7,0.77,0.48","1.6,0.72,0.5","3.2,0.88,0.61"
"3.3,0.73,0.73","3.3,0.88,0.61","3.2,0.86,0.55","2.2,0.79,0.77","2.1,0.75,0.52"
"1.4,0.77,0.67","3.9,0.77,0.68","3.9,0.85,0.55","3.9,0.83,0.72","1.1,0.77,0.77"
"1.7,0.76,0.55","3.4,0.8,0.47","3.8,0.89,0.58","3.1,0.84,0.78","3.4,0.72,0.7"
"2.9,0.71,0.77","3.8,0.85,0.58","1.8,0.78,0.62","2.9,0.74,0.67","3.6,0.82,0.6"
"1.4,0.78,0.55","3.7,0.81,0.49","3.7,0.72,0.75","2.2,0.83,0.78","2.3,0.81,0.51"
"3.9,0.76,0.75","1.9,0.83,0.64","1.3,0.71,0.74","3.2,0.78,0.67","1.5,0.81,0.76"
"3.5,0.74,0.69","2.8,0.75,0.77","1.5,0.86,0.69","2.2,0.8,0.76","2.1,0.9,0.77"
"1.1,0.83,0.78","2.1,0.8,0.73","3.2,0.73,0.67","1.6,0.76,0.46","1.5,0.89,0.69"
"1.3,0.83,0.65","2.8,0.83,0.64","3.6,0.74,0.48","3.9,0.81,0.63","1.9,0.81,0.68"
"3.3,0.89,0.61","2.9,0.74,0.64","1.4,0.84,0.69","3.9,0.84,0.55","1.7,0.8,0.61"
"2.5,0.75,0.53","1.7,0.9,0.74","2.5,0.87,0.71","3.6,0.89,0.56","2.3,0.86,0.72"
"2.3,0.89,0.46","1.4,0.8,0.66","2.5,0.71,0.73","1.3,0.87,0.46","3.7,0.86,0.79"
"1.7,0.75,0.72","1.4,0.77,0.68","3.4,0.76,0.71","1.8,0.82,0.56","2.5,0.82,0.78"
"3.8,0.72,0.56","1.0,0.78,0.75","2.2,0.83,0.63","2.7,0.79,0.78","1.4,0.8,0.45"
"3.9,0.82,0.79","2.3,0.85,0.49","1.9,0.9,0.75","2.6,0.9,0.71","1.0,0.79,0.6"
"2.8,0.71,0.58","3.7,0.81,0.72","1.2,0.81,0.61","2.5,0.75,0.8","2.9,0.88,0.47"
"3.6,0.89,0.72","1.2,0.88,0.8","1.7,0.85,0.52","1.5,0.71,0.47","1.7,0.79,0.46"
"2.8,0.88,0.5","1.9,0.82,0.52","3.6,0.79,0.76","2.2,0.74,0.51","1.7,0.82,0.75"
"2.5,0.86,0.6","3.2,0.74,0.62","1.4,0.72,0.69","2.1,0.76,0.64","1.6,0.7,0.69"
"1.8,0.78,0.55","2.6,0.72,0.54","3.2,0.73,0.73","3.9,0.83,0.78","2.7,0.84,0.76"
"2.9,0.84,0.59","3.2,0.87,0.57","1.5,0.82,0.68","2.7,0.84,0.59","3.1,0.77,0.76"
"3.1,0.73,0.64","1.1,0.77,0.63","1.4,0.89,0.47","3.8,0.71,0.57","1.8,0.72,0.66"
"2.8,0.88,0.48","1.8,0.81,0.6","2.5,0.78,0.71","1.9,0.88,0.47","3.9,0.84,0.72"
"2.6,0.74,0.69","3.3,0.82,0.73","3.9,0.89,0.72","2.6,0.79,0.57","2.9,0.84,0.5"
"2.5,0.86,0.55","3.1,0.76,0.56","3.1,0.76,0.76","2.9,0.72,0.46","2.1,0.76,0.47"
"2.3,0.82,0.58","2.8,0.8,0.62","3.2,0.83,0.69","1.7,0.77,0.69","2.5,0.85,0.47"
"2.9,0.71,0.46","3.3,0.71,0.61","1.5,0.78,0.55","3.1,0.86,0.77","3.0,0.73,0.73"
